SettlementPoint,Year,Month,AveragePrice
HB_BUSAVG,2016,1,19.2093
HB_BUSAVG,2016,2,15.2882
HB_BUSAVG,2016,3,16.7556
HB_BUSAVG,2016,4,18.2893
HB_BUSAVG,2016,5,18.1596
HB_BUSAVG,2016,6,23.9098
HB_BUSAVG,2016,7,27.1875
HB_BUSAVG,2016,8,30.5671
HB_BUSAVG,2016,9,26.8618
HB_BUSAVG,2016,10,25.2048
HB_BUSAVG,2016,11,19.2449
HB_BUSAVG,2016,12,25.3183
HB_BUSAVG,2017,1,23.2528
HB_BUSAVG,2017,2,20.1178
HB_BUSAVG,2017,3,22.5699
HB_BUSAVG,2017,4,23.7051
HB_BUSAVG,2017,5,25.0874
HB_BUSAVG,2017,6,27.6692
HB_BUSAVG,2017,7,31.4543
HB_BUSAVG,2017,8,27.507
HB_BUSAVG,2017,9,24.1842
HB_BUSAVG,2017,10,23.5633
HB_BUSAVG,2017,11,22.6775
HB_BUSAVG,2017,12,21.188
HB_BUSAVG,2018,1,37.8697
HB_BUSAVG,2018,2,21.8543
HB_BUSAVG,2018,3,22.562
HB_BUSAVG,2018,4,23.143
HB_BUSAVG,2018,5,34.0052
HB_BUSAVG,2018,6,29.9661
HB_BUSAVG,2018,7,78.8594
HB_BUSAVG,2018,8,31.6616
HB_BUSAVG,2018,9,27.1754
HB_BUSAVG,2018,10,29.9578
HB_BUSAVG,2018,11,30.6445
HB_BUSAVG,2018,12,30.2682
HB_BUSAVG,2019,1,24.5926
HB_BUSAVG,2019,2,21.1864
HB_BUSAVG,2019,3,27.5657
HB_BUSAVG,2019,4,22.6132
HB_BUSAVG,2019,5,23.9599
HB_BUSAVG,2019,6,25.0855
HB_BUSAVG,2019,7,29.7296
HB_BUSAVG,2019,8,126.3841
HB_BUSAVG,2019,9,79.6156
HB_BUSAVG,2019,10,28.2471
HB_BUSAVG,2019,11,23.4684
HB_BUSAVG,2019,12,18.7151
HB_HOUSTON,2016,1,19.5657
HB_HOUSTON,2016,2,15.4645
HB_HOUSTON,2016,3,17.125
HB_HOUSTON,2016,4,18.941
HB_HOUSTON,2016,5,19.1741
HB_HOUSTON,2016,6,26.2557
HB_HOUSTON,2016,7,29.5389
HB_HOUSTON,2016,8,32.9725
HB_HOUSTON,2016,9,28.7424
HB_HOUSTON,2016,10,28.2496
HB_HOUSTON,2016,11,20.3659
HB_HOUSTON,2016,12,25.7277
HB_HOUSTON,2017,1,24.7819
HB_HOUSTON,2017,2,23.2657
HB_HOUSTON,2017,3,28.2133
HB_HOUSTON,2017,4,32.2957
HB_HOUSTON,2017,5,31.5332
HB_HOUSTON,2017,6,33.1683
HB_HOUSTON,2017,7,34.3758
HB_HOUSTON,2017,8,29.4017
HB_HOUSTON,2017,9,26.5429
HB_HOUSTON,2017,10,30.1412
HB_HOUSTON,2017,11,26.0911
