SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.185773
HB_BUSAVG,2017,0.154092
HB_BUSAVG,2018,0.200254
HB_BUSAVG,2019,0.249378
HB_HOUSTON,2016,0.191099
HB_HOUSTON,2017,0.170477
HB_HOUSTON,2018,0.200244
HB_HOUSTON,2019,0.247946
HB_HUBAVG,2016,0.187957
HB_HUBAVG,2017,0.158687
HB_HUBAVG,2018,0.202121
HB_HUBAVG,2019,0.250648
HB_NORTH,2016,0.184181
HB_NORTH,2017,0.152575
HB_NORTH,2018,0.200159
HB_NORTH,2019,0.249618
HB_PAN,2019,0.631635
HB_SOUTH,2016,0.209026
HB_SOUTH,2017,0.156145
HB_SOUTH,2018,0.198684
HB_SOUTH,2019,0.24898
HB_WEST,2016,0.208849
HB_WEST,2017,0.247628
HB_WEST,2018,0.302512
HB_WEST,2019,0.336607
